# File generated by CMD 3.8 (http://stev.oapd.inaf.it/cmd) on Thu Sep 25 11:32:43 UTC 2025
# isochrones based on PARSEC release v1.2S +  COLIBRI S_37 + S_35 + PR16
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS, 485, 5666 + Pastorelli al. (2020), MNRAS, in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# LPV periods and growth rates added cf. Trabucchi et al. (2019)
# but fundamental-mode LPV periods + transition are from Trabucchi et al. (2021)
# Photometric system: <i>UBVRIJHK</i> (cf. Maiz-Apellaniz 2006 + Bessell 1990)
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Umag    Bmag    Vmag    Rmag    Imag    Jmag    Hmag    Kmag
0.019 0.11850 8.90000 0.8493285179 2.4348302229    0.849 -0.480  3.7028  4.611    1  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -2.23e-14      0.00 7.022e-01 2.790e-01 3.343e-03 9.130e-04 8.293e-03 -1.000 1.881e-02 5.971 8.004 7.178 6.246 5.657 5.226 4.622 4.136 4.066
0.019 0.11850 8.90000 0.8644155860 2.4393360073    0.864 -0.444  3.7082  4.603    1  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -2.42e-14      0.00 7.023e-01 2.789e-01 3.342e-03 9.125e-04 8.289e-03 -1.000 1.881e-02 5.880 7.810 7.038 6.128 5.557 5.136 4.550 4.080 4.011
0.019 0.11850 8.90000 0.8989926577 2.4490095732    0.898 -0.362  3.7202  4.587    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -2.92e-14      0.00 7.026e-01 2.785e-01 3.338e-03 9.115e-04 8.280e-03 -1.000 1.882e-02 5.676 7.381 6.730 5.868 5.336 4.937 4.390 3.953 3.890
0.019 0.11850 8.90000 0.9486569762 2.4614953382    0.948 -0.250  3.7361  4.561    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -3.79e-14      0.00 7.033e-01 2.779e-01 3.332e-03 9.099e-04 8.265e-03 -1.000 1.883e-02 5.395 6.829 6.327 5.527 5.041 4.668 4.171 3.775 3.718
0.019 0.11850 8.90000 0.9852542281 2.4697755215    0.985 -0.169  3.7468  4.540    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1  -4.6e-14      0.00 7.039e-01 2.773e-01 3.326e-03 9.082e-04 8.251e-03 -1.000 1.878e-02 5.193 6.440 6.046 5.291 4.836 4.481 4.015 3.644 3.593
0.019 0.11850 8.90000 0.9983211756 2.4725633410    0.998 -0.141  3.7505  4.533    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -4.91e-14      0.00 7.041e-01 2.771e-01 3.323e-03 9.076e-04 8.245e-03 -1.000 1.875e-02 5.123 6.306 5.949 5.210 4.766 4.417 3.961 3.599 3.550
0.019 0.11850 8.90000 1.0479854345 2.4824337184    1.047 -0.037  3.7634  4.501    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -5.89e-14      0.00 7.053e-01 2.760e-01 3.312e-03 9.045e-04 8.217e-03 -1.000 1.865e-02 4.862 5.843 5.603 4.917 4.509 4.180 3.759 3.426 3.383
0.019 0.11850 8.90000 1.0905185938 2.4900701517    1.090  0.050  3.7735  4.471    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -6.81e-14      0.00 7.068e-01 2.747e-01 3.297e-03 9.005e-04 8.181e-03 -1.000 1.857e-02 4.645 5.487 5.323 4.680 4.298 3.986 3.592 3.280 3.241
0.019 0.11850 8.90000 1.0976496935 2.4912840307    1.097  0.064  3.7752  4.467    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -6.98e-14      0.00 7.071e-01 2.744e-01 3.294e-03 8.998e-04 8.175e-03 -1.000 1.855e-02 4.610 5.430 5.277 4.642 4.264 3.954 3.564 3.256 3.218
0.019 0.11850 8.90000 1.1151614189 2.4941893246    1.114  0.099  3.7790  4.454    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -7.38e-14      0.00 7.080e-01 2.735e-01 3.285e-03 8.973e-04 8.152e-03 -1.000 1.851e-02 4.523 5.293 5.166 4.548 4.180 3.876 3.497 3.197 3.161
